view,classifier,f1_mean,f1_std,acc_mean,brier_mean,fit_s_mean
A,svm_platt,0.5624,0.0079,0.5652,0.1807,1.4355
A,logreg,0.5613,0.0109,0.5625,0.1802,0.7294
A,svm_calibrated,0.5596,0.008,0.5606,0.1813,0.1203
A,svm_softmax,0.5534,0.012,0.5541,0.196,0.0178
B,logreg,0.5522,0.0093,0.5529,0.1845,1.3137
B,svm_softmax,0.5488,0.008,0.5492,0.2002,0.007
B,complement_nb,0.534,0.0085,0.5413,0.1952,0.005
B,random_forest,0.5245,0.0109,0.5264,0.1907,1.4923
